,tweet_id,source,rating_numerator,stage,retweet_count,favorite_count,name,text,timestamp
0,890240255349198849,Twitter for iPhone,14,doggo,6985,30811,Cassie,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,2017-07-26 15:59:51
1,884162670584377345,Twitter for iPhone,12,doggo,2836,19663,Yogi,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,2017-07-09 21:29:42
2,872967104147763200,Twitter for iPhone,12,doggo,5178,26475,None,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,2017-06-09 00:02:31
3,871515927908634625,Twitter for iPhone,12,doggo,3330,19603,Napolean,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,2017-06-04 23:56:03
4,869596645499047938,Twitter for iPhone,12,doggo,3038,15590,Scout,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,2017-05-30 16:49:31
5,858843525470990336,Twitter for iPhone,13,doggo,3455,15422,None,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,2017-05-01 00:40:27
6,846514051647705089,Twitter for iPhone,13,doggo,11889,45487,Barney,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,2017-03-28 00:07:32
7,845397057150107648,Twitter for iPhone,13,doggo,1853,7796,Mimosa,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o",2017-03-24 22:08:59
8,836753516572119041,Twitter for iPhone,12,doggo,4816,19870,Meera,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,2017-03-01 01:42:39
9,834574053763584002,Twitter for iPhone,13,doggo,2643,14114,None,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 https://t.co/UtEVnQ1ZPg,2017-02-23 01:22:14
10,832998151111966721,Twitter for iPhone,13,doggo,2310,13726,Rhino,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0",2017-02-18 17:00:10
11,832273440279240704,Twitter for iPhone,14,doggo,2445,11702,Smiley,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,2017-02-16 17:00:25
12,832032802820481025,Twitter for iPhone,12,doggo,4874,18456,Miguel,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M",2017-02-16 01:04:13
13,831939777352105988,Twitter for iPhone,12,doggo,6413,24807,Emanuel,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet https://t.co/k9bzgyVdUT,2017-02-15 18:54:34
14,831322785565769729,Twitter for iPhone,12,doggo,1611,9558,Pete,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK,2017-02-14 02:02:51
15,829878982036299777,Twitter for iPhone,12,doggo,5269,0,Loki,RT @dog_rates: This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,2017-02-10 02:25:42
16,829449946868879360,Twitter for iPhone,11,doggo,2119,10857,None,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 https://t.co/fmRS43mWQB,2017-02-08 22:00:52
17,828381636999917570,Twitter for iPhone,14,doggo,2335,13102,Doobert,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly https://t.co/iCk7zstRA9,2017-02-05 23:15:47
18,826958653328592898,Twitter for iPhone,12,doggo,5269,22402,Loki,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,2017-02-02 01:01:21
19,826848821049180160,Twitter for iPhone,13,doggo,10726,37831,Cupid,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af https://t.co/WS0Gha8vRh,2017-02-01 17:44:55
20,826476773533745153,Twitter for iPhone,12,doggo,4433,19150,Pilot,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 https://t.co/YIV8sw8xkh,2017-01-31 17:06:32
21,826204788643753985,Twitter for iPhone,13,doggo,975,5067,None,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX",2017-01-30 23:05:46
22,821765923262631936,Twitter for iPhone,13,doggo,1745,8772,Duchess,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52,2017-01-18 17:07:18
23,821407182352777218,Twitter for iPhone,14,doggo,4578,12285,Sundance,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) https://t.co/Xn5AQtiqzG,2017-01-17 17:21:47
24,821107785811234820,Twitter for iPhone,11,doggo,2247,10005,None,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey https://t.co/8SiwKDlRcl,2017-01-16 21:32:06
25,819924195358416896,Twitter for iPhone,11,doggo,5137,13460,None,Here we have a doggo who has messed up. He was hoping you wouldn't notice. 11/10 someone help him https://t.co/XdRNXNYD4E,2017-01-13 15:08:56
26,819015337530290176,Twitter for iPhone,14,doggo,38923,0,Bo,RT @dog_rates: This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,2017-01-11 02:57:27
27,819015331746349057,Twitter for iPhone,14,doggo,20018,0,Sunny,RT @dog_rates: This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,2017-01-11 02:57:26
28,819006400881917954,Twitter for iPhone,14,doggo,20018,47240,Sunny,This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,2017-01-11 02:21:57
29,819004803107983360,Twitter for iPhone,14,doggo,38923,90669,Bo,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,2017-01-11 02:15:36
30,813910438903693312,Twitter for iPhone,11,doggo,1986,9747,Chubbs,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist https://t.co/z1VRj1cYZf,2016-12-28 00:52:25
31,813202720496779264,Twitter for iPhone,11,doggo,1910,9650,None,Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10 https://t.co/cD967DjnIn,2016-12-26 02:00:11
32,813127251579564032,Twitter for iPhone,11,doggo,3326,12427,None,Here's an anonymous doggo that appears to be very done with Christmas. 11/10 cheer up pup https://t.co/BzITyGw3JA,2016-12-25 21:00:18
33,813096984823349248,Twitter for iPhone,11,doggo,3839,11039,Rocky,This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him https://t.co/soNL00XWVu,2016-12-25 19:00:02
34,800018252395122689,Twitter for iPhone,11,doggo,14038,29872,None,Here's a doggo doin a struggle. 11/10 much determined https://t.co/gQqRBfkX4I,2016-11-19 16:49:49
35,799757965289017345,Twitter for iPhone,13,doggo,2310,8832,Sobe,This is Sobe. She's a h*ckin happy doggo. Only one leg tho. Must have good balance. 13/10 would smile back https://t.co/OiH8PaOxB1,2016-11-18 23:35:32
36,796484825502875648,Twitter for iPhone,12,doggo,1878,7983,None,Here's a sleepy doggo that requested some assistance. 12/10 would carry everywhere https://t.co/bvkkqOjNDV,2016-11-09 22:49:15
37,795464331001561088,Twitter for iPhone,13,doggo,25337,52387,None,Elder doggo does a splash. Both 13/10 incredible stuff https://t.co/gBUDjdEcqz,2016-11-07 03:14:10
38,786363235746385920,Twitter for iPhone,13,doggo,3720,11448,Rizzo,This is Rizzo. He has many talents. A true renaissance doggo. 13/10 entertaining af https://t.co/TVXpEJB7Wn,2016-10-13 00:29:39
39,782747134529531904,Twitter for iPhone,11,doggo,1484,7836,Deacon,This is Deacon. He's the happiest almost dry doggo I've ever seen. 11/10 would smile back https://t.co/C6fUMnHt1H,2016-10-03 01:00:34
40,782305867769217024,Twitter for iPhone,12,doggo,5912,17461,Sampson,This is Sampson. He just graduated. Ready to be a doggo now. Time for the real world. 12/10 have fun with taxes https://t.co/pgVKxRw0s1,2016-10-01 19:47:08
41,775733305207554048,Twitter for iPhone,11,doggo,4217,14474,Anakin,This is Anakin. He strives to reach his full doggo potential. Born with blurry tail tho. 11/10 would still pet well https://t.co/9CcBSxCXXG,2016-09-13 16:30:07
42,775364825476165632,Twitter for iPhone,11,doggo,3143,7753,Finley,This is Finley. He's an independent doggo still adjusting to life on his own. 11/10 https://t.co/7FNcBaKbci,2016-09-12 16:05:54
43,768193404517830656,Twitter for iPhone,8,doggo,3741,11351,Gerald,Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://t.co/WmczvjCWJq,2016-08-23 21:09:14
44,767191397493538821,Twitter for iPhone,13,doggo,3981,12779,None,I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo https://t.co/QOKZdus9TT,2016-08-21 02:47:37
45,760893934457552897,Twitter for iPhone,11,doggo,1023,3964,Wishes,This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/H9YgrUkYwa,2016-08-03 17:43:45
46,758828659922702336,Twitter for iPhone,13,doggo,4028,11608,None,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,2016-07-29 00:57:05
47,757393109802180609,Twitter for iPhone,10,doggo,1817,6036,None,Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him https://t.co/OfvRoD6ndV,2016-07-25 01:52:43
48,756526248105566208,Twitter for iPhone,13,doggo,3764,10794,None,All hail sky doggo. 13/10 would jump super high to pet https://t.co/CsLRpqdeTF,2016-07-22 16:28:07
49,755206590534418437,Twitter for iPhone,14,doggo,5595,17054,one,This is one of the most inspirational stories I've ever come across. I have no words. 14/10 for both doggo and owner https://t.co/I5ld3eKD5k,2016-07-19 01:04:16
50,752682090207055872,Twitter for iPhone,10,doggo,1675,6203,None,Nothing better than a doggo and a sunset. 10/10 majestic af https://t.co/xVSodF19PS,2016-07-12 01:52:49
